('cve-2019-12685', 4),('cve-2017-8561', 4),cve-2019-10325,4,cve-2019-14294,18,cve-2015-2548,18,cve-2018-0392,4,cve-2018-4902,16,cve-2015-6863,19,cve-2016-4172,13,cve-2018-5534,0,cve-2019-3629,19,cve-2016-7048,13,cve-2016-1000221,8,cve-2019-7925,4,cve-2018-10301,4,cve-2015-3314,4,cve-2018-1896,4,cve-2018-18379,13,cve-2017-6768,6
('cve-2019-12685', 4),('cve-2017-8561', 4),cve-2017-15029,18,cve-2018-2631,17,cve-2015-7488,4,cve-2018-5919,11,cve-2017-2480,9,cve-2018-1000635,4,cve-2018-16853,4,cve-2015-4966,4,cve-2018-18672,4,cve-2017-2455,19,cve-2015-1685,13,cve-2018-3718,13,cve-2019-2861,12,cve-2017-1000036,4,cve-2017-7520,11,cve-2018-11045,16,cve-2015-4257,14
('cve-2019-12685', 4),('cve-2017-8561', 4),cve-2017-17987,7,cve-2019-11831,12,cve-2017-9821,14,cve-2019-11768,4,cve-2019-7097,8,cve-2016-1676,7,cve-2019-7078,7,cve-2019-14696,12,cve-2017-3833,0,cve-2015-5863,13,cve-2017-10668,7,cve-2018-4281,14,cve-2018-1118,0,cve-2015-4024,14,cve-2018-19229,11,cve-2019-11669,17,cve-2018-12229,13,cve-2015-2308,6
('cve-2019-12685', 4),('cve-2017-8561', 4),cve-2016-2243,8,cve-2015-1099,6,cve-2019-2477,16,cve-2018-6039,0,cve-2016-10722,11,cve-2019-6826,6,cve-2017-13868,12,cve-2019-1585,4,cve-2018-14033,13,cve-2018-14421,19,cve-2016-0269,6,cve-2015-7324,4,cve-2019-0357,13,cve-2018-7195,6,cve-2016-8567,19
('cve-2018-18075', 6),('cve-2019-15102', 6),cve-2017-8565,6,cve-2016-1847,6,cve-2015-5926,0,cve-2019-11871,16,cve-2016-4070,6,cve-2015-8725,7,cve-2018-19205,12,cve-2019-2777,7,cve-2016-4591,7,cve-2018-2011,13,cve-2017-12416,18,cve-2015-1255,7,cve-2019-2856,4,cve-2017-14494,4,cve-2018-18942,13,cve-2017-7665,6,cve-2015-8446,6,cve-2018-18443,6
('cve-2018-18075', 6),('cve-2019-15102', 6),cve-2015-8520,14,cve-2016-4353,17,cve-2018-18349,6,cve-2015-8559,9,cve-2018-14313,17,cve-2016-0890,6,cve-2019-1003063,6,cve-2018-3823,0,cve-2018-11047,6,cve-2015-6332,11,cve-2019-5802,6,cve-2017-12782,17,cve-2016-2004,6,cve-2019-13474,14,cve-2017-1000370,6,cve-2016-2008,7,cve-2016-7519,6,cve-2018-17858,14,cve-2017-14479,14,cve-2017-0368,17
('cve-2018-18075', 6),('cve-2019-15102', 6),cve-2017-7741,19,cve-2016-4432,8,cve-2018-14291,16,cve-2017-14446,8,cve-2016-0909,17,cve-2018-8137,11,cve-2017-8364,9,cve-2017-14085,11,cve-2016-5942,12,cve-2017-17973,13,cve-2015-9189,9,cve-2015-2949,6,cve-2019-0886,6,cve-2016-7585,16,cve-2016-8522,19,cve-2016-5829,19,cve-2016-10504,16,cve-2015-3030,19
('cve-2018-18075', 6),('cve-2019-15102', 6),cve-2016-10218,4,cve-2019-10285,6,cve-2018-10286,6,cve-2016-6197,6,cve-2019-5352,16,cve-2017-11696,16,cve-2017-4054,16,cve-2019-10343,6,cve-2015-0905,4,cve-2018-13089,14,cve-2015-4875,0,cve-2016-1152,6,cve-2015-6940,16,cve-2019-10045,11,cve-2017-13169,17,cve-2018-16008,6,cve-2017-9094,6,cve-2015-4137,6
('cve-2018-18075', 6),('cve-2019-15102', 6),cve-2018-1000200,6,cve-2018-1825,0,cve-2017-18260,6,cve-2017-16015,6,cve-2017-9654,6,cve-2018-15570,18,cve-2018-8358,13,cve-2018-3594,6,cve-2017-3742,6,cve-2018-18828,6,cve-2015-3064,4,cve-2015-8608,6,cve-2017-16551,6,cve-2018-1000141,9,cve-2017-1625,6,cve-2015-7319,16,cve-2018-3055,4,cve-2019-11666,8
('cve-2018-18075', 6),('cve-2019-15102', 6),cve-2018-5863,6,cve-2016-5762,19,cve-2017-7934,9,cve-2017-11330,6,cve-2015-5263,6,cve-2016-2423,6,cve-2016-8520,9,cve-2018-16448,7,cve-2017-2253,18,cve-2015-2442,12,cve-2018-10174,12,cve-2019-5283,6,cve-2017-3518,7,cve-2017-7099,6,cve-2015-0705,6,cve-2017-18298,6,cve-2018-3061,6,cve-2016-4127,6
